"id","model","tags","fields"
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: ようか || FrontAudio: [sound:naver-65b5eb60-ef497e5b-ad6ecf20-af644ff0-3d501764.mp3] || BackText: 八日<br>ngày 8 || BackAudio:  || Image: <img alt=""Entry Details for 八日 [youka] - Tanoshii Japanese"" src=""59576.png""> || Add Reverse: 八日<br>ngày 8 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: ここのか || FrontAudio: [sound:naver-72d426e0-0aedaff5-db82fa2a-7ef3c029-abcb59d9.mp3] || BackText: 九日<br>ngày 9 || BackAudio:  || Image: <img src=""no-wonder-why-this-best-260nw-1862875321.jpg""> || Add Reverse: 九日<br>ngày 9 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: なのか || FrontAudio: [sound:naver-f920e39d-9a9d8432-ea7a8e5c-6a4ccce5-b72c83b7.mp3] || BackText: 七日<br>ngày 7 || BackAudio:  || Image: <img alt=""週間には七日 ( Shuukan Ni Wa Nanoka - Seven Days Of The Week ) | 子供のための歌 ..."" src=""maxresdefault-ca36bedc959f08ec0abe9f5b37946bfa6da0b0d3.jpg""> || Add Reverse: 七日<br>ngày 7 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: さんじゅういちにち || FrontAudio: [sound:naver-4226f7b6-94906d4d-d1e03028-6b1ec7ba-8cb71300.mp3] || BackText: 三十一日<br>ngày 31 || BackAudio:  || Image: <img src=""31st-january-calendar-icon-31-260nw-2220583209.jpg""> || Add Reverse: 三十一日<br>ngày 31 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: じゅういちにち || FrontAudio: [sound:naver-92ff22f0-02a458c1-aa29df14-4ade816e-33db43c0.mp3] || BackText: 十一日<br>ngày 11 || BackAudio:  || Image: <img src=""july-11-hand-writing-text-260nw-2639984089.jpg""> || Add Reverse: 十一日<br>ngày 11 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: はつか || FrontAudio: [sound:naver-b6329328-d82a147e-0eef3154-dc101f43-6f6c69d8.mp3] || BackText: 二十日<br>ngày 20 || BackAudio:  || Image: <img src=""info_image_3222.gif""> || Add Reverse: 二十日<br>ngày 20 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: とおか || FrontAudio: [sound:naver-efb00b8e-167c8c8f-687c0d8e-3d7748b2-56596f65.mp3] || BackText: 十日<br>ngày 10 || BackAudio:  || Image: <img alt=""十日」（とおか）の意味"" src=""36454.png""> || Add Reverse: 十日<br>ngày 10 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: じゅうよっか || FrontAudio: [sound:naver-6b429711-e1282458-abeefb13-5c8acd8a-d8b1bb91.mp3] || BackText: 十四日<br>ngày 14 || BackAudio:  || Image: <img alt=""Không chỉ Valentine, ngày 14 tháng nào cũng đều có ý nghĩa"" src=""2-1455946453101.jpg""> || Add Reverse: 十四日<br>ngày 14 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Mồng","FrontText: むいか || FrontAudio: [sound:naver-c9fedee6-9970da3c-155705ae-fb0edece-554368d3.mp3] || BackText: 六日<br>ngày 6 || BackAudio:  || Image: <img alt=""かんじ_日にち②単語カード | Quizlet"" src=""8oDBm7bO9Rn4mXPPUqcqWw.jpg""> || Add Reverse: 六日<br>ngày 6 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tháng","FrontText: ごがつ || FrontAudio: [sound:naver-1a92cf21-99895681-5df4e44a-f3e8bb6b-5d076b98.mp3] || BackText: 五月<br>tháng 5 || BackAudio:  || Image: <img alt=""商用フリー・無料イラスト_5月タイトル文字_May10 - 商用OK!フリー素材集「ナイスなイラスト」"" src=""R.9ef72c02cc5fc92f9229c24032d7e03d""> || Add Reverse: 五月<br>tháng 5 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tháng","FrontText: しちがつ || FrontAudio: [sound:naver-e8eec16d-dddb1fdf-7cb58544-f5713825-cd6f48ec.mp3] || BackText: 七月<br>tháng 7 || BackAudio:  || Image: <img src=""kyoto-japan-march-28-2025-260nw-2696078751.jpg""> || Add Reverse: 七月<br>tháng 7 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tháng","FrontText: しがつ || FrontAudio: [sound:naver-6d0678c5-786f4a51-549e3745-4ca99eb7-187f495c.mp3] || BackText: 四月<br>tháng 4 || BackAudio:  || Image: <img alt=""商用フリー・無料イラスト_4月タイトル文字_AprilTitle001 | 商用OK!フリー素材集「ナイスなイラスト」"" src=""4gatsumoji_001.png""> || Add Reverse: 四月<br>tháng 4 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tháng","FrontText: じゅうにがつ || FrontAudio: [sound:naver-ff650c41-3be4e052-d4a21bf7-b31413bd-27d08ada.mp3] || BackText: 十二月<br>tháng 12 || BackAudio:  || Image: <img src=""sixteen-december-written-over-wooden-260nw-2373940353.jpg""> || Add Reverse: 十二月<br>tháng 12 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tháng","FrontText: にがつ || FrontAudio: [sound:naver-f4e8e369-a010b312-c20fecc5-c9417b53-558db3f1.mp3] || BackText: 二月<br>tháng 2 || BackAudio:  || Image: <img alt=""2月の飾り文字（季節・行事/その他一般・装飾）の無料イラスト | 介護アンテナ"" src=""sample_marked_20107_s.jpg""> || Add Reverse: 二月<br>tháng 2 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tháng","FrontText: きゅうがつ || FrontAudio: [sound:naver-afb2f0df-d8438758-ff82612f-a22ba530-c98b7e84.mp3] || BackText: 九月<br>tháng 9 || BackAudio:  || Image: <img src=""exhausted-healthcare-worker-resting-on-260nw-2634359285.jpg""> || Add Reverse: 九月<br>tháng 9 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tháng","FrontText: じゅういちがつ || FrontAudio: [sound:naver-db0c9e1a-c693cd7d-40d55651-7f2dd68a-26a84848.mp3] || BackText: 十一月<br>tháng 11 || BackAudio:  || Image: <img src=""187292a6f09729353168d8268a1eb7ad.jpg""> || Add Reverse: 十一月<br>tháng 11 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tháng","FrontText: ろくがつ || FrontAudio: [sound:naver-19e126f4-cffe8a0f-0e19e79e-6f67fea7-ec8e7105.mp3] || BackText: 六月<br>tháng 6 || BackAudio:  || Image: <img alt=""ろくがつ | 8TH LIVE CIRCUIT"" src=""8988e4a1d1c16c7a4890b03cc29a54ae_t.jpeg""> || Add Reverse: 六月<br>tháng 6 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tháng","FrontText: いちがつ || FrontAudio: [sound:naver-88077c9f-9bd4e3ba-2e5b72f0-78617ecc-b1b6cfb5.mp3] || BackText: 一月<br>tháng 1 || BackAudio:  || Image: <img alt=""Image result for いちがつ"" src=""OIP.hwv7pcg_L5vVOK6GQ-jWvwHaEK""> || Add Reverse: 一月<br>tháng 1 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tháng","FrontText: さんがつ || FrontAudio: [sound:naver-dbc75337-3ac15099-f287ca20-0e9518dc-31c54cdd.mp3] || BackText: 三月<br>tháng 3 || BackAudio:  || Image: <img src=""gold-triple-moon-mystic-icon-260nw-1994146013.jpg""> || Add Reverse: 三月<br>tháng 3 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tháng","FrontText: じゅうがつ || FrontAudio: [sound:naver-6474d23f-afb0c503-0c20cce2-f4b41cdc-d719e58e.mp3] || BackText: 十月<br>tháng 10 || BackAudio:  || Image: <img alt=""10月 (じゅうがつ） | よみもの"" src=""C49C04CF-A9A7-4AD6-8BD2-DF5DB00EE00C.jpeg""> || Add Reverse: 十月<br>tháng 10 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tháng","FrontText: はちがつ || FrontAudio: [sound:naver-ea6730e4-b400520e-0027644a-eee9b828-36d8e6be.mp3] || BackText: 八月<br>tháng 8 || BackAudio:  || Image: <img src=""hello-august-beautiful-floral-bouquet-260nw-2324978981.jpg""> || Add Reverse: 八月<br>tháng 8 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Thứ","FrontText: もくようび || FrontAudio: [sound:naver-695c0f93-4690653c-a8e157b0-8df50bb9-3bddb547.mp3] || BackText: 木曜日<br>thứ 5 || BackAudio:  || Image: <img src=""chalkboard-display-thursday-written-chalk-260nw-2642042861.jpg""> || Add Reverse: 木曜日<br>thứ 5 || Grammar: "
,"Basic Quizlet Extended","nix::u6:Danh_từ","FrontText: どようび || FrontAudio: [sound:naver-bafbc863-432fc626-c6f0b27a-4ba51137-dec35f4f.mp3] || BackText: 土曜日<br>Thứ bảy || BackAudio:  || Image: <img src=""welcome-saturday-word-text-concept-260nw-2473513533.jpg""> || Add Reverse: 土曜日Thứ bảy || Grammar: HT: 土曜日です<br>PĐ: 土曜日じゃありません<br>QK: 土曜日でした<br>QKPĐ: 土曜日じゃありませんでした"
,"Basic Quizlet Extended","nix::u5::Thứ","FrontText: にちようび || FrontAudio: [sound:naver-ced30256-8c70813d-718d72fd-139d9898-91f4552a.mp3] || BackText: 日曜日<br>chủ nhật || BackAudio:  || Image: <img alt=""Image result for sun"" src=""OIP.hwNkygMQoyIB2slrxrv2NAHaHZ""> || Add Reverse: 日曜日<br>chủ nhật || Grammar: "
,"Basic Quizlet Extended","nix::u5::Thứ","FrontText: げつようび || FrontAudio: [sound:naver-227e1933-4684d99d-83210d55-aaa7b79f-4419a774.mp3] || BackText: 月曜日<br>thứ 2 || BackAudio:  || Image:  || Add Reverse: 月曜日<br>thứ 2 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Thứ","FrontText: かようび || FrontAudio: [sound:naver-6ca98e64-edea0fec-a7da3dca-2fc393b7-32a2b198.mp3] || BackText: 火曜日<br>thứ 3 || BackAudio:  || Image: <img src=""tuesday-woman-holding-chalkboard-text-260nw-330567218.jpg""> || Add Reverse: 火曜日<br>thứ 3 || Grammar: "
,"Basic Quizlet Extended","nix::u5::Thứ","FrontText: すいようび || FrontAudio: [sound:naver-74d30eb7-c5d7209a-e4fa9dde-314032e1-c967204c.mp3] || BackText: 水曜日<br>thứ 4 || BackAudio:  || Image: <img src=""blurred-image-sunset-motivational-quotes-600w-1930383032.jpg""> || Add Reverse: 水曜日<br>thứ 4 || Grammar: "
,"Basic Quizlet Extended","chỉ, gian, nix::u5::Trạng, thời, từ","FrontText: らいねん || FrontAudio: [sound:naver-4858a951-65a0720f-7da5c86c-92b0d06a-62164f1d.mp3] || BackText: 来年<br>năm sau || BackAudio:  || Image: <img alt=""Vietnamese New Year 2025 Images - Free Download on Freepik"" src=""realistic-happy-vietnamese-new-year-2025-celebration-design_1240525-93698.jpg""> || Add Reverse: 来年<br>năm sau || Grammar: "
,"Basic Quizlet Extended","chỉ, gian, nix::u5::Trạng, thời, từ","FrontText: らいしゅう || FrontAudio: [sound:naver-2678cc96-7d001869-af6138c3-53159445-a3106abf.mp3] || BackText: 来週<br>tuần sau || BackAudio:  || Image: <img alt=""Next Week Vector Icon Design 21343781 Vector Art at Vecteezy"" src=""OIP.t9AelbFdFol7RBl0sgfX_wHaHZ""> || Add Reverse: 来週<br>tuần sau || Grammar: "
,"Basic Quizlet Extended","chỉ, gian, nix::u5::Trạng, thời, từ","FrontText: こんしゅう || FrontAudio: [sound:naver-12ae655f-9524ef2b-3ed0160b-2af7db42-28896316.mp3] || BackText: 今週<br>tuần này || BackAudio:  || Image: <img alt=""How to pronounce 「konshuu｜こんしゅう｜今週」 Japanese vocabulary - YouTube"" src=""maxresdefault-447db5edb62dce6e2888bb0ad5e8421777837d9b.jpg""> || Add Reverse: 今週<br>tuần này || Grammar: "
,"Basic Quizlet Extended","chỉ, gian, nix::u5::Trạng, thời, từ","FrontText: きょう || FrontAudio: [sound:naver-386c5eef-199ce751-700f88e0-796ae648-6825d6fd.mp3] || BackText: 今日<br>hôm nay || BackAudio:  || Image: <img alt=""For Today Live"" src=""today_all_day.jpg""> || Add Reverse: 今日<br>hôm nay || Grammar: "
,"Basic Quizlet Extended","chỉ, gian, nix::u5::Trạng, thời, từ","FrontText: きょねん || FrontAudio: [sound:naver-03dafe7c-868aa94c-325d9e23-c4439c22-f597e678.mp3] || BackText: 去年<br>năm ngoái || BackAudio:  || Image: <img alt=""How to pronounce 「kyonen｜きょねん｜去年」 Japanese vocabulary - YouTube"" src=""R.4d141dce9aa0aa05aa0d66b68b286922""> || Add Reverse: 去年<br>năm ngoái || Grammar: "
,"Basic Quizlet Extended","chỉ, gian, nix::u5::Trạng, thời, từ","FrontText: きのう || FrontAudio: [sound:naver-24d1c7a2-2ba4e6e3-f6caa8e1-46e50f87-fb4a87d1.mp3] || BackText: 昨日<br>hôm qua || BackAudio:  || Image: <img alt=""Review phim Yesterday: Lời tri ân ngọt ngào như những bản tình ca ..."" src=""review-phim-yesterday-chang-trai-buoc-qua-vach-ke-duong-elle-man-feature-1.jpg""> || Add Reverse: 昨日<br>hôm qua || Grammar: "
,"Basic Quizlet Extended","nix::u5::Danh, từ","FrontText: せんしゅう || FrontAudio: [sound:naver-774415e7-2678ba65-d91f8201-cb68d176-fa179c66.mp3] || BackText: 先週<br>Tuần trước || BackAudio:  || Image: <img alt=""Một tuần trước đám cưới"" src=""mot-tuan-truoc-dam-cuoi-cover.jpg""> || Add Reverse: 先週<br>Tuần trước || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::HTTL","FrontText: ちいさい です || FrontAudio: [sound:naver-f2def1a8-0d719cc4-e0b6602f-51d92bb2-d5e19c97.mp3] || BackText: 小さい<br>Nhỏ || BackAudio: nix::u5::Tính từ::khẳng định::HTTL || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::HTTL","FrontText: たのしい です || FrontAudio: [sound:naver-b63ca56b-16f33653-67dae784-d7523b07-b5ff8b3b.mp3] || BackText: 楽しい<br>Vui || BackAudio: nix::u5::Tính từ::khẳng định::HTTL || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::HTTL","FrontText: ふるい です || FrontAudio: [sound:naver-f8bf807c-90be7b01-540aa94e-0fc51c92-3f6d4260.mp3] || BackText: 古い<br>củ || BackAudio: nix::u5::Tính từ::khẳng định::HTTL || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::HTTL","FrontText: やすい です || FrontAudio: [sound:naver-e489aa96-8639f6fa-c0a74224-945d4d54-1d1ff3df.mp3] || BackText: 安い<br>Rẻ || BackAudio: nix::u5::Tính từ::khẳng định::HTTL || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::HTTL","FrontText: くろい です || FrontAudio: [sound:naver-f5876765-7311502a-58cccddf-9b542ee8-fc06293e.mp3] || BackText: 黒い<br>Màu đen || BackAudio: nix::u5::Tính từ::khẳng định::HTTL || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::HTTL","FrontText: いい です || FrontAudio: [sound:naver-2d6bf042-ea318032-2c7dd847-c1b1ca13-29018e79.mp3] || BackText: <br>Tốt || BackAudio: nix::u5::Tính từ::khẳng định::HTTL || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::QK","FrontText: くろ かったです || FrontAudio: [sound:naver-0ddfe6ac-c0fce80e-f27752b9-b15ce38a-7d8d47fb.mp3] || BackText: 黒 かったです<br>Đã từng đen || BackAudio: nix::u5::Tính từ::khẳng định::QK || Image:  || Add Reverse:  || Grammar: Khẳng định quá khứ い: 1. Bỏ い 2. Thêm かったです"
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::QK","FrontText: やす かったです || FrontAudio: [sound:naver-d11833f8-cabfbb65-239b7ca4-6242bf21-6fdfab2f.mp3] || BackText: 安 かったです<br>Đã từng Rẻ || BackAudio: nix::u5::Tính từ::khẳng định::QK || Image:  || Add Reverse:  || Grammar: Khẳng định quá khứ い: 1. Bỏ い 2. Thêm かったです"
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::QK","FrontText: ふる かったです || FrontAudio: [sound:naver-7a8b4353-8572a733-5883cf09-41c46d82-875fd41e.mp3] || BackText: 古 かったです<br>Đã từng Củ || BackAudio: nix::u5::Tính từ::khẳng định::QK || Image:  || Add Reverse:  || Grammar: Khẳng định quá khứ い: 1. Bỏ い 2. Thêm かったです"
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::QK","FrontText: ちいさ かったです || FrontAudio: [sound:naver-735b02a4-919aa37b-f589a461-52b0ffcb-c7db888a.mp3] || BackText: 小さ かったです<br>Đã từng Nhỏ, nhỏ || BackAudio: nix::u5::Tính từ::khẳng định::QK || Image:  || Add Reverse:  || Grammar: Khẳng định quá khứ い: 1. Bỏ い 2. Thêm かったです"
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::QK","FrontText: たのし かったです || FrontAudio: [sound:naver-17ff3e61-356fa3a2-cfab5e86-6d82b22d-ad42b854.mp3] || BackText: 楽し かったです<br>Đã từng Vui || BackAudio: nix::u5::Tính từ::khẳng định::QK || Image:  || Add Reverse:  || Grammar: Khẳng định quá khứ い: 1. Bỏ い 2. Thêm かったです"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::HTTL","FrontText: やすくないです。<br>やすくありません || FrontAudio: [sound:naver-eedb6356-3abf86f6-accea292-fdc05692-05be9493.mp3] || BackText: 安くないです<br>安くありません<br>không Rẻ || BackAudio: nix::u5::Tính từ::Phủ Định::HTTL || Image:  || Add Reverse:  || Grammar: Phủ định い: 1. Bỏ い 2. Thêm くないです / くありません"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::HTTL","FrontText: くろくないです, くろくありません || FrontAudio: [sound:naver-842e3196-aba3ee6a-bf3fa0a2-7eaab7df-64908c97.mp3] || BackText: 黒くないです<br>黒くありません<br>không đen  || BackAudio: nix::u5::Tính từ::Phủ Định::HTTL || Image:  || Add Reverse:  || Grammar: Phủ định い: 1. Bỏ い 2. Thêm くないです / くありません"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::HTTL","FrontText: よくないです,よくありません || FrontAudio: [sound:naver-7b445bcd-2220cdb9-23c30f83-f58eac3f-f24935ca.mp3] || BackText: <br>không tốt || BackAudio: nix::u5::Tính từ::Phủ Định::HTTL || Image:  || Add Reverse:  || Grammar: Phủ định い: 1. Chuyển い -&gt; よ 2. Bỏ い 3. Thêm くないです / くありません"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::HTTL","FrontText: たのしくないです。<br>たのしくありません || FrontAudio: [sound:naver-44b891b7-9040468f-3a27efd8-cb76e3b1-c521d01a.mp3] || BackText: 楽しくないです<br>楽しくありません<br>không Vui || BackAudio:  || Image:  || Add Reverse:  || Grammar: Phủ định い: 1. Bỏ い 2. Thêm くないです / くありません"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::HTTL","FrontText: ちいさくないです, ちいさくありません || FrontAudio: [sound:naver-968350f5-63830d2e-e602dd5d-5dd82c5b-416c9c70.mp3] || BackText: 小さくないです, 小さくありません<br>không Nhỏ || BackAudio: nix::u5::Tính từ::Phủ Định::HTTL || Image:  || Add Reverse:  || Grammar: Phủ định い: 1. Bỏ い 2. Thêm くないです / くありません"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::HTTL","FrontText: ふるくないです、<br>ふるくありません || FrontAudio: [sound:naver-8eb96b72-aea6600b-851ce7b9-11b895e3-a7d7ad15.mp3] || BackText:  古くないです<br>古くありません<br>không củ || BackAudio: nix::u5::Tính từ::Phủ Định::HTTL || Image:  || Add Reverse:  || Grammar: Phủ định い: 1. Bỏ い 2. Thêm くないです / くありません"
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::HTTL","FrontText: じょうずな です || FrontAudio: [sound:naver-ff62a5a2-f98c54dd-5dc0e124-a2778659-cba637b5.mp3] || BackText: 上手な<br>Giỏi || BackAudio: nix::u5::Tính từ::khẳng định::HTTL || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::HTTL","FrontText: いろいろな です || FrontAudio: [sound:naver-e390b016-833bcbe5-645bf213-648c68fe-4555619f.mp3] || BackText: 色々な<br>Nhiều, đa dạng || BackAudio: nix::u5::Tính từ::khẳng định::HTTL || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::HTTL","FrontText: しんせつな です || FrontAudio: [sound:naver-61604483-9422c5c5-1cc93825-ae9cbe70-503ae531.mp3] || BackText: 親切な<br>Thân thiện, tốt bụng || BackAudio: nix::u5::Tính từ::khẳng định::HTTL || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::HTTL","FrontText: すてきな です || FrontAudio: [sound:naver-ceb83cfa-4d9d15d5-2830d34a-ead971f8-747823e7.mp3] || BackText: 素敵な<br>Dễ thương || BackAudio: nix::u5::Tính từ::khẳng định::HTTL || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::HTTL","FrontText: へたな です || FrontAudio: [sound:naver-584ff4a7-9acdb263-ced33aef-728171ed-804cc5bc.mp3] || BackText: 下手な<br>Không giỏi, tệ, dở || BackAudio: nix::u5::Tính từ::khẳng định::HTTL || Image:  || Add Reverse:  || Grammar: "
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::HTTL","FrontText: じょうずじゃありません、<br>じょうずではありません || FrontAudio: [sound:naver-64c30674-b9040d9c-6e2e7bf2-2bd4bb2c-7f49edbb.mp3] || BackText: 上手じゃありません<br>上手ではありません<br>không Giỏi || BackAudio:  || Image:  || Add Reverse: じょうずじゃありません、<br>じょうずではありません || Grammar: Phủ định な : 1. Bỏ な 2. Thêm ではありません / じゃありません"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::HTTL","FrontText: しんせつじゃありません、<br>しんせつではありません || FrontAudio: [sound:naver-6f4a5f3a-8e97f613-f350056b-b4bc239f-19ce2ad3.mp3] || BackText: 親切じゃありません<br>親切ではありません<br>không Thân thiện, không tốt bụng || BackAudio: nix::u5::Tính từ::Phủ Định::HTTL || Image:  || Add Reverse: しんせつじゃありません、<br>しんせつではありません || Grammar: Phủ định な : 1. Bỏ な 2. Thêm ではありません / じゃありません"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::HTTL","FrontText: いろいろじゃありません<br>いろいろではありません || FrontAudio: [sound:naver-65dfaf8a-8dff2c8a-2c9ece6c-32b36cb7-4fa62954.mp3] || BackText: 色々じゃありません<br>色々ではありません<br>không Nhiều, không đa dạng || BackAudio: nix::u5::Tính từ::Phủ Định::HTTL || Image:  || Add Reverse:  || Grammar: Phủ định な : 1. Bỏ な 2. Thêm ではありません / じゃありません"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::HTTL","FrontText: へたじゃありません、<br>へたではありません || FrontAudio: [sound:naver-57a29ce9-26cf7cb8-8e437b32-c1d4db16-5aff3e44.mp3] || BackText: 下手じゃありません,<br>下手ではありません<br>Không tệ, không dở || BackAudio:  || Image:  || Add Reverse:  || Grammar: Phủ định な : 1. Bỏ な 2. Thêm ではありません / じゃありません"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::HTTL","FrontText: すてきじゃありません、<br>すてきではありません || FrontAudio: [sound:naver-bb3a95bf-634ac029-6c10b811-a87ec663-d8d430db.mp3] || BackText: 素敵じゃありません<br>素敵ではありません<br>không Dễ thương || BackAudio: nix::u5::Tính từ::Phủ Định::HTTL || Image:  || Add Reverse: すてきじゃありません、<br>すてきではありません || Grammar: Phủ định な : 1. Bỏ な 2. Thêm ではありません / じゃありません"
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::QK","FrontText: じょうず でした || FrontAudio: [sound:naver-af49cac7-06447190-cfeaa09a-02ee5943-9b401bc6.mp3] || BackText: 上手 でした<br>Đã từng Giỏi || BackAudio: nix::u5::Tính từ::khẳng định::QK || Image:  || Add Reverse:  || Grammar: Khẳng định quá khứ な: 1. Bỏ な 2. Thêm でした"
,"Basic Quizlet Extended","nix::u5::Tính, từ::khẳng, định::QK","FrontText: すてき でした || FrontAudio: [sound:naver-fd46404d-db4bfd42-6ddb292d-3e3a88ac-d816f82b.mp3] || BackText: 素敵 でした<br>Đã từng Dễ thương || BackAudio: nix::u5::Tính từ::khẳng định::QK || Image:  || Add Reverse:  || Grammar: Khẳng định quá khứ な: 1. Bỏ な 2. Thêm でした"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::QK","FrontText: たのし くなかったです.<br>たのし くありませんでした || FrontAudio: [sound:naver-19ced448-fbfa4ff2-43bcd760-e6772423-0eb1933b.mp3] || BackText: 楽し くなかったです <br>楽し くありませんでした <br>Đã từng không Vui || BackAudio:  || Image:  || Add Reverse: 楽し くなかったです <br>楽し くありませんでした <br>Đã từng không Vui || Grammar: Phủ định quá khứ い：1. Bỏ い<br>2. Thêm phủ định<br>くな/ くありません<br>3 Thêm QK<br>くな -&gt; かったです/<br>くありません -&gt; でした <br>"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::QK","FrontText: ふる くなかったです<br>ふる くありませんでした || FrontAudio: [sound:naver-35c11fc7-f24720f8-55905acc-bf99d0da-baedef8c.mp3] || BackText: 古 くなかったです <br>古 くありませんでした <br>Đã từng không Cũ || BackAudio:  || Image:  || Add Reverse: 古 くなかったです<br>古 くありませんでした<br>Đã từng không Cũ || Grammar: Phủ định quá khứ い：<br>1. Bỏ い<br>2. Thêm phủ định<br>くな/ くありません<br>3 Thêm QK<br>くな -&gt; かったです/<br>くありません -&gt; でした <br><br>"
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::QK","FrontText: ちいさ くなかったです、<br>ちいさ くありませんでした || FrontAudio: [sound:naver-83814dfc-bb94ce9b-1b576b80-9eac31c7-6a561f60.mp3] || BackText: 小さ くなかったです <br>小さ くありませんでした <br>Đã từng không Nhỏ || BackAudio:  || Image:  || Add Reverse: 小さ くなかったです<br>&nbsp;小さ くありませんでした <br>Đã từng không Nhỏ || Grammar: Phủ định quá khứ い：<br>1. Bỏ い<br>2. Thêm phủ định<br>くな/ くありません<br>3 Thêm QK<br>くな -&gt; かったです/<br>くありません -&gt; でした "
,"Basic Quizlet Extended","nix::u5::Tính, từ::Phủ, định::QK","FrontText: やす くながったです<br>やす くありませんでした || FrontAudio: [sound:naver-19f1aa4a-25f5592c-940c846d-5d72c674-e327b375.mp3] || BackText: 安 くなかったです <br>安 くありませんでした <br>Đã từng không Rẻ || BackAudio:  || Image:  || Add Reverse: 安 くなかったです<br>安 くありませんでした <br>Đã từng không Rẻ || Grammar: Phủ định quá khứ い：1. Bỏ い<br>2. Thêm phủ định<br>くな/ くありません<br>3 Thêm QK<br>くな -&gt; かったです/<br>くありません -&gt; でした <br><br>"
,"Basic Quizlet Extended","Sở, thích","FrontText: Nが すきですか？ || FrontAudio: [sound:naver-e87bbae5-67123314-943bfba2-e8f0b505-6d2c6185.mp3] || BackText: Nが好きですか？Bạn có thích N không? || BackAudio:  || Image:  || Add Reverse: Nが好きですか？Bạn có thích N không? || Grammar: 好き (すき): Thích.Trợ từ が đi với tính từ đuôi na."
